Age,TTh,ATh,TAP,MAAT,FI,MIRI,PI,AADTT, pass Sieve 200 subgrade, pass Sieve 200 base_subbase,PCI
36.18,162.56,200.7,538,7.900000095,351,3.8,,,,,6.3
25.08,162.56,200.7,381,6.900000095,165,0.78,,,,,95.52
28.07,162.56,200.7,394,7.599999905,195,0.82,,,,,88.59
31.18,162.56,200.7,394.3999939,7.099999905,247,1.77,,,,,34.2
33.29,162.56,200.7,440.3999939,7.300000191,248,1.98,,,,,25.9
34.14,162.56,200.7,480.7999878,8,262,2.91,,,,,8.9
35.13,162.56,200.7,516.7999878,7.699999809,297,2.99,,,,,7.23
36.18,162.56,200.7,537.5,7.900000095,351,3.6,,,,,6.2
25.08,162.56,200.7,381,6.900000095,165,0.76,,,,,100
28.07,162.56,200.7,394,7.599999905,195,1.22,,,,,65.6
31.18,162.56,200.7,394.3999939,7.099999905,247,1.79,,,,,35.3
33.29,162.56,200.7,440.3999939,7.300000191,248,2.01,,,,,24.9
34.14,162.56,200.7,480.7999878,8,262,2.92,,,,,8.6
35.13,162.56,200.7,516.7999878,7.699999809,297,3.01,,,,,7.24
36.18,162.56,200.7,537.5,7.900000095,351,3.4,,,,,6.1
11.64,734.1,116.8,279.6000061,11.19999981,88,1.611999989,,,,,21.06
14.71,734.1,116.8,262.5,11.10000038,187,1.76,,,,,14.71
11.64,734.1,137.2,279.6000061,11.19999981,88,1.8,,,,,22.23
14.71,734.1,137.2,262.5,11.10000038,187,1.81,,,,,13.71
11.64,734.1,116.8,279.6000061,11.19999981,88,1.8,,,,,22.23
14.57,734.1,116.8,262.5,11.10000038,187,1.85,,,,,11.3
11.64,734.1,116.8,279.6000061,11.19999981,88,1.87,,1043,,,22.32
14.57,734.1,116.8,262.5,11.10000038,187,1.89,,450,,,9.01
11.64,734.1,132.1,279.6000061,11.19999981,88,1.79,,,,,21.23
14.71,734.1,132.1,262.5,11.10000038,187,1.82,,,,,13.71
16.59,144.78,137.2,359.7999878,9.800000191,145,1.7,,,,,58.87
20.08,144.78,137.2,438.8999939,8.600000381,265,2.11,,,,,13.2
21.54,144.78,137.2,455.7999878,9.5,320,2.78,,,,,11.6
23.84,144.78,137.2,461,10.10000038,383,2.91,,,,,10.45
24.93,144.78,137.2,536,9.800000191,444,3.01,,,,,5.43
16.59,132.08,132.1,359.7999878,9.800000191,145,1.7,,,,,58.87
20.08,132.08,132.1,438.8999939,8.600000381,265,2.12,,,,,12.3
21.54,132.08,132.1,455.7999878,9.5,320,2.78,,,,,11.6
23.84,132.08,132.1,461,10.10000038,383,2.91,,,,,10.45
24.93,132.08,132.1,536,9.800000191,444,3.01,,,,,5.43
9.2,734.1,116.8,262.5,9.300000191,222,1.01,,,,,72.63
9.85,734.1,116.8,262.5,9.300000191,222,0.99,,,,,74.45
